,,,,,,,socialGroupsFakeID,,,,,,,,,,,,,,,,,,,,
patientFakeID,ageRangeFakeID,ageStageFakeID,isSmokerFakeID,genderFakeID,maxEducationFakeID,maritalStatusFakeID,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120
5001,42edd309bd7dde33a823,155cbddf5e2f370d3e73,155cbddf5e2f370d3e73,4368b27b6319b2838847,f5cec24e1ffaa7f88858,d867152fa91872dc8e0b,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5002,d41179f3013cffd3d95f,cbe3f55a87feb60ce62d,cbe3f55a87feb60ce62d,47239fe7c316064a02df,c154296390d5f4e08743,d3d300d7d75909d7cd5a,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
5003,013d1cd1886ef89b1724,c5a09ee6f1e927348620,155cbddf5e2f370d3e73,4368b27b6319b2838847,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5004,0bdb82c26add0f857d50,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,4368b27b6319b2838847,f5cec24e1ffaa7f88858,d867152fa91872dc8e0b,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5005,42edd309bd7dde33a823,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5006,86c3cc68793538ff0262,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,57f5d64b44d53b5551a1,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5007,42edd309bd7dde33a823,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
5008,c111eac382be5551b81c,285f914793d0a4a2f5ba,155cbddf5e2f370d3e73,47239fe7c316064a02df,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5009,c111eac382be5551b81c,155cbddf5e2f370d3e73,155cbddf5e2f370d3e73,4368b27b6319b2838847,f5cec24e1ffaa7f88858,d3d300d7d75909d7cd5a,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5010,86c3cc68793538ff0262,155cbddf5e2f370d3e73,155cbddf5e2f370d3e73,4368b27b6319b2838847,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5011,1cf3e1f1adacfbe27cc7,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,47239fe7c316064a02df,,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5012,02651c157ef71d28b927,155cbddf5e2f370d3e73,155cbddf5e2f370d3e73,47239fe7c316064a02df,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5013,0bdb82c26add0f857d50,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,47239fe7c316064a02df,c154296390d5f4e08743,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5014,86c3cc68793538ff0262,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,5c2a80623716ba638b66,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5015,c111eac382be5551b81c,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,57f5d64b44d53b5551a1,,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
5016,0bdb82c26add0f857d50,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,4368b27b6319b2838847,c154296390d5f4e08743,d3d300d7d75909d7cd5a,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5017,1cf3e1f1adacfbe27cc7,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,47239fe7c316064a02df,c154296390d5f4e08743,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5018,1cf3e1f1adacfbe27cc7,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,4368b27b6319b2838847,c154296390d5f4e08743,7f9669579f8d9f5d7d6d,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5019,e8939ef52ad4a91f05bd,cbe3f55a87feb60ce62d,cbe3f55a87feb60ce62d,4368b27b6319b2838847,c154296390d5f4e08743,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5020,1cf3e1f1adacfbe27cc7,285f914793d0a4a2f5ba,cbe3f55a87feb60ce62d,4368b27b6319b2838847,c154296390d5f4e08743,d3d300d7d75909d7cd5a,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5021,42edd309bd7dde33a823,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,57f5d64b44d53b5551a1,,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
5022,42edd309bd7dde33a823,155cbddf5e2f370d3e73,155cbddf5e2f370d3e73,4368b27b6319b2838847,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
5023,c111eac382be5551b81c,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,4368b27b6319b2838847,c154296390d5f4e08743,d3d300d7d75909d7cd5a,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
5024,33dce1e3faa000aaea16,285f914793d0a4a2f5ba,155cbddf5e2f370d3e73,47239fe7c316064a02df,57f5d64b44d53b5551a1,d3d300d7d75909d7cd5a,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0
5025,86c3cc68793538ff0262,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,47239fe7c316064a02df,,d867152fa91872dc8e0b,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
5026,0bdb82c26add0f857d50,285f914793d0a4a2f5ba,155cbddf5e2f370d3e73,4368b27b6319b2838847,57f5d64b44d53b5551a1,d867152fa91872dc8e0b,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5027,42edd309bd7dde33a823,155cbddf5e2f370d3e73,155cbddf5e2f370d3e73,47239fe7c316064a02df,c154296390d5f4e08743,d867152fa91872dc8e0b,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
5028,f626ab68ea783220f0be,155cbddf5e2f370d3e73,cbe3f55a87feb60ce62d,47239fe7c316064a02df,,d867152fa91872dc8e0b,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
